Función: index, Modificador de Acceso: public 
Función: sign_up, Modificador de Acceso: public 
Función: doctorRegister, Modificador de Acceso: public 
Función: sendOtp, Modificador de Acceso: public 
Función: verify_user, Modificador de Acceso: public 
Función: doctor, Modificador de Acceso: public 
Función: addBookmark, Modificador de Acceso: public 
Función: distance, Modificador de Acceso: public 
Función: doctor_profile, Modificador de Acceso: public 
Función: test_report, Modificador de Acceso: public 
Función: booking, Modificador de Acceso: public 
Función: modal, Modificador de Acceso: public 
Función: pharmacy, Modificador de Acceso: public 
Función: downloadPDF, Modificador de Acceso: public 
Función: pharmacyDetails, Modificador de Acceso: public 
Función: pharmacyProduct, Modificador de Acceso: public 
Función: getDeliveryCharge, Modificador de Acceso: public 
Función: getDistance, Modificador de Acceso: public 
Función: signup, Modificador de Acceso: public 
Función: labs, Modificador de Acceso: public 
Función: labTest, Modificador de Acceso: public 
Función: radiology_category_wise, Modificador de Acceso: public 
Función: single_radiology_details, Modificador de Acceso: public 
Función: lab_timeslot, Modificador de Acceso: public 
Función: pathology_category_wise, Modificador de Acceso: public 
Función: single_pathology_details, Modificador de Acceso: public 
Función: patientLogin, Modificador de Acceso: public 
Función: bookAppointment, Modificador de Acceso: public 
Función: checkCoupen, Modificador de Acceso: public 
Función: displayHospital, Modificador de Acceso: public 
Función: displayTimeslot, Modificador de Acceso: public 
Función: ourBlogs, Modificador de Acceso: public 
Función: kullayEmpresas, Modificador de Acceso: public 
Función: seParte, Modificador de Acceso: public 
Función: ourOffers, Modificador de Acceso: public 
Función: singleBlog, Modificador de Acceso: public 
Función: checkFavourite, Modificador de Acceso: public 
Función: calculateRate, Modificador de Acceso: public 
Función: addCart, Modificador de Acceso: public 
Función: medicineDetails, Modificador de Acceso: public 
Función: viewCart, Modificador de Acceso: public 
Función: removeSingleItem, Modificador de Acceso: public 
Función: addReview, Modificador de Acceso: public 
Función: checkout, Modificador de Acceso: public 
Función: bookMedicine, Modificador de Acceso: public 
Función: aboutUs, Modificador de Acceso: public 
Función: privacy, Modificador de Acceso: public 
Función: userProfile, Modificador de Acceso: public 
Función: testReport, Modificador de Acceso: public 
Función: download_report, Modificador de Acceso: public 
Función: patientAddress, Modificador de Acceso: public 
Función: favorite, Modificador de Acceso: public 
Función: profileSetting, Modificador de Acceso: public 
Función: changePassword, Modificador de Acceso: public 
Función: single_report, Modificador de Acceso: public 
Función: update_user_profile, Modificador de Acceso: public 
Función: changelanguage, Modificador de Acceso: public 
Función: selectLanguage, Modificador de Acceso: public 
Función: change_password, Modificador de Acceso: public 
Función: forgotPassword, Modificador de Acceso: public 
Función: userForgotPassword, Modificador de Acceso: public 
Función: addAddress, Modificador de Acceso: public 
Función: edit_user_address, Modificador de Acceso: public 
Función: update_user_address, Modificador de Acceso: public 
Función: delete_user_address, Modificador de Acceso: public 
Función: cancelAppointment, Modificador de Acceso: public 
Función: deleteAccount, Modificador de Acceso: public 
